10021364	 drosophila tnf-receptor-associated factor traf bind ste20 kinase misshapen activate jun kinase   two family protein kinase close relate ste20 kinase domain identify - p21-activated protein kinase pak sps1 family 1-3   contrast pak family member sps1 family member bind activate gtp-bound p21rac cdc42   recent place member sps1 family call misshapen gene_msn_gene genetic upstream c-jun amino-terminal jnk mitogen-activated protein bing_map_bing kinase module drosophila 4   failure activate jnk drosophila lead bing_embryonic_lethality_bing due failure embryo stimulate dorsal closure 5-8   gene_msn_gene probable function bing_map_bing kinase kinase kinase kinase drosophila activate jnk pathway via undefined bing_map_bing kinase kinase kinase   identify drosophila tnf-receptor-associated factor gene_dtraf1_gene screening msn-interacting protein use yeast two-hybrid system   contrast mammalian trafs show activate jnk gene_dtraf1_gene lack amino-terminal 'ring-finger' domain overexpression truncate gene_dtraf1_gene consist traf domain activate jnk   identify another dtraf gene_dtraf2_gene contain gene_amino-terminal_ring-finger_domain_gene   gene_msn_gene specific bind traf domain gene_dtraf1_gene gene_dtraf2_gene   drosophila gene_dtraf1_gene thus good candidate upstream molecule regulate jnk pathway interacting activating gene_msn_gene consistent idea expression dominant-negative gene_msn_gene mutant protein block activation jnk gene_dtraf1_gene   furthermore coexpression gene_msn_gene gene_dtraf1_gene lead synergistic activation jnk   extend observation mammalian homolog gene_msn_gene gene_nck-interacting_kinase_gene nik suggest trafs play critical role regulate ste20 kinase mammal  
10021500	 activation inward rectify k+ channel ok proximal tubule cell involve cgmp-dependent phosphorylation process   inward rectify k+ channel inward conductance 90 ps surface membrane culture opossum kidney proximal tubule okp cell activate cyclic amp-dependent protein kinase pka   study further examine involvement guanosine 3',5'-cyclic monophosphate cgmp)-dependent process modulation k+ channel use patch-clamp technique   cell-attached patch channel activity increase application n2 2'-o-dibutyrylguanosine 3',5'-cyclic monophosphate gene_dbcgmp_gene 100 microm 8-bromoguanosine 3',5'-cyclic monophosphate 8brcgmp 100 microm inhibit kt5823 10 microm membrane-permeable specific inhibitor gene_cgmp-dependent_protein_kinase_gene pkg   effect gene_dbcgmp_gene channel activity abolish pretreatment cell kt5823 10 microm observe presence kt5720 200 nm specific inhibitor pka   furthermore gene_atrial_natriuretic_peptide_gene gene_anp_gene 10 nm increase channel activity prevent application kt5823 10 microm   inside-out patch chem_atp_chem 3 mm require maintain channel activity inhibit kt5823 10 microm increase cgmp 100 microm alone   channel activity increase coapplication pkg 500 u-ml cgmp 100 microm   result suggest cgmp activate inward rectify k+ channel okp cell through pkg-mediated phosphorylation process independent pka-mediated process gene_anp_gene agonist stimulate pkg-mediated process proximal tubule cell   furthermore suggest atp-dependent channel activity inside-out patch maintain part pkg membrane-bound catalytic domain  
10022120	 chem_tyrosine_chem phosphorylation complex formation gene_cbl-b_gene upon t cell receptor stimulation   gene_cbl-b_gene mammalian homolog cbl consist n-terminal region cbl-b-n high homologous oncogenic v-cbl ring finger c-terminal region contain multiple proline-rich stretch potential chem_tyrosine_chem phosphorylation site   present study demonstrate upon engagement t cell receptor tcr endogenou gene_cbl-b_gene become rapid tyrosine-phosphorylated   heterogeneous cos-1 cell gene_cbl-b_gene phosphorylate chem_tyrosine_chem residue both syk- syk-zap-70 src- fyn-lck family kinase gene_syk_kinase_gene induce prominent effect   gene_syk_gene associate phosphorylate gene_cbl-b_gene jurkat t cell   tyr-316 cbl-binding site gene_syk_gene require association maximal chem_tyrosine_chem phosphorylation gene_cbl-b_gene mutation loss-of-function site gly-298 cbl-b-n disrupt interaction gene_syk_gene   gene_cbl-b_gene constitutive bind grb2 become associate crk-l upon tcr stimulation   grb2- crk-l-binding region map c-terminus gene_cbl-b_gene crk-l-binding site further determine y655dvp y709kip latter be primary binding site   taken together result implicate gene_cbl-b_gene involve tcr-mediated intracellular signal pathway  
10022818	 differential stability gene_dna-activated_protein_kinase_gene catalytic subunit mrna bing_human_glioma_bing cell   dna-dependent protein kinase dna-pk function double-strand break repair immunoglobulin v(d)j recombination   previous establish radiation-sensitive human cell line m059j derive bing_malignant_glioma_bing lack catalytic subunit dna-pkcs dna-pk multiprotein complex   although previous northern blot analysis fail detect dna-pkcs transcript cell show here through quantitative study transcript present albeit great reduce approximately 20x level   sequencing reveal genetic alteration promoter region kinase domain 3' untranslate region dna-pkcs gene account reduce transcript level   nuclear run-on transcription assay indicate rate dna-pkcs transcription m059j dna-pkcs proficient cell line similar stability dna-pkcs message m059j cell line drastic approximately 20x reduce   furthermore m059j cell lack alternate splice dna-pkcs transcript account minor 5-20% proportion dna-pkcs message cell line test   thus alteration dna-pkcs mrna stability and-or lack alternate mrna result loss dna-pkcs activity   find important implication dna-pkcs activity essential cell repair damage induce radiation radiomimetric agent  
10022833	 socs1 bind multiple signalling protein suppress steel factor-dependent proliferation   identify socs1 downstream component gene_kit_receptor_gene chem_tyrosine_chem gene_tyrosine_kinase_gene signal pathway   show expression socs1 mrna rapid increase primary bone marrow-derived mast cell follow exposure gene_steel_factor_gene socs1 inducible bind gene_kit_receptor_gene chem_tyrosine_chem gene_tyrosine_kinase_gene via src homology 2 gene_sh2_gene domain   previous study show socs1 suppress cytokine-mediated differentiation m1 cell inhibit janus family kinase   contrast constitutive expression socs1 suppress mitogenic potential gene_kit+_gene maintain steel factor-dependent cell survival signal   unlike janus kinase socs1 inhibit catalytic activity gene_kit+_gene chem_tyrosine_chem gene_tyrosine_kinase_gene   order define mechanism socs1-mediated suppression kit-dependent mitogenesis occur demonstrate socs1 bind signal protein gene_grb-2_gene rho-family guanine nucleotide exchange factor gene_vav_gene   show grb2 bind socs1 via gene_sh3_gene domain putative diproline determinant locate n-terminus socs1 socs1 bind n-terminal regulatory region gene_vav_gene   datum suggest socs1 inducible switch modulate proliferative signal favour cell survival signal function adaptor protein receptor chem_tyrosine_chem gene_tyrosine_kinase_gene signal pathway  
10022904	 activation ikappab kinase beta protein kinase c isoform   gene_atypical_protein_kinase_gene c bing_pkc_bing isotype lambda-iotapkc zetapkc show critical involve important cell function such proliferation survival   previous study demonstrate atypical pkcs bing_stimulate_tumor_bing necrosis factor alpha tnf-alpha require activation nf-kappab cytokine through mechanism probable involve phosphorylation ikappab   inability bing_pkc_bing isotype direct phosphorylate ikappab lead hypothesis zetapkc use putative ikappab kinase functional inactivate ikappab   recently several group molecular characterize clone two ikappab kinase ikkalpha ikkbeta phosphorylate residue ikappab molecule serve target ubiquitination degradation   study address possibility different pkcs control nf-kappab through activation ikks   report here alphapkc well atypical pkcs bind ikks vitro vivo   addition overexpression zetapkc positive modulate ikkbeta activity ikkalpha whereas transfection zetapkc dominant negative mutant severe impair activation ikkbeta ikkalpha tnf-alpha-stimulated cell   show cell stimulation phorbol 12-myristate 13-acetate activate ikkbeta entire dependent activity alphapkc atypical isoform   contrast inhibition alphapkc affect activation ikkbeta tnf-alpha   interestingly recombinant active zetapkc alphapkc stimulate vitro activity ikkbeta ikkalpha   addition evidence present here recombinant zetapkc direct phosphorylate ikkbeta vitro involve ser177 ser181   collectively result demonstrate critical role bing_pkc_bing isoform nf-kappab pathway level ikkbeta activation ikappab degradation  
10022929	 lim-only protein gene_pinch_gene direct interact gene_integrin-linked_kinase_gene recruit integrin-rich site spread cell   gene_pinch_gene wide express evolutionary conserve protein comprise primary five lim domain cysteine-rich consensus sequence implicate mediate protein-protein interaction   report here gene_pinch_gene binding protein gene_integrin-linked_kinase_gene gene_ilk_gene intracellular serine-threonine protein kinase play important role cell adhesion growth factor wnt signal pathway   interaction between gene_ilk_gene gene_pinch_gene consistent observe under variety experimental condition   interacted yeast two-hybrid assay solution solid-phase-based binding assay   furthermore gene_ilk_gene vinculin focal adhesion kinase coisolate gene_pinch_gene mammalian cell immunoaffinity chromatography indicate gene_pinch_gene gene_ilk_gene associate each vivo   pinch-ilk interaction mediate n-terminal-most lim domain lim1 residue 1 70 gene_pinch_gene multiple ankyrin gene_ank_gene repeat locate within n-terminal domain residues 1 163 gene_ilk_gene   additionally biochemical study indicate gene_ilk_gene through interaction gene_pinch_gene capable form ternary complex nck-2 sh2-sh3-containing adapter protein implicate gene_growth_factor_receptor_kinase_gene small gtpase signal pathway   finally find gene_pinch_gene concentrate peripheral ruffle cell spread gene_fibronectin_gene detect cluster gene_pinch_gene colocalize alpha5beta1 integrin   result demonstrate specific protein recognition mechanism utilize specific lim domain multiple gene_ank_gene repeat suggest gene_pinch_gene function adapter protein connect gene_ilk_gene integrin component gene_growth_factor_receptor_kinase_gene small gtpase signal pathway  
10024525	 dephosphorylation catenin p120 p100 endothelial cell response inflammatory stimulus   inflammatory mediator such chem_histamine_chem thrombin increase tight-junction permeability endothelial cell   tight-junction permeability independent controlled dependent adheren junction adhesion achieve through homotypic interaction cadherins turn associate cytoplasmic protein catenins p120 term p120(cas)-p120(ctn splice variant p100 catenins p120 original discover substrate chem_tyrosine_chem kinase src target protein kinase c-stimulated pathway epithelial cell cause serine-threonine dephosphorylation   present study show pharmacological activation protein kinase c stimulate similar pathway endothelial cell   activation receptor agent such chem_histamine_chem h1 thrombin lysophosphatidic acid endothelial cell cause serine-threonine dephosphorylation p120 p100 suggest physiological relevance   protein kinase c inhibitor although block effect pharmacological activation protein kinase c block effect due receptor activation   calcium mobilization gene_myosin-light-chain-kinase_gene pathway participate p120-p100 signal   conclusion endothelial cell possess protein kinase c-dependent -independent pathway regulate p120-p100 serine-threonine phosphorylation   datum describe new connection between inflammatory agent receptor-stimulated signalling pathway potential influence intercellular adhesion endothelial cell  
10024608	 update interconversion chem_vitamin_b-6_chem vitamin gene_b-6_gene coenzyme   biosynthesis chem_pyridoxal_chem chem_pyridoxal_5'-phosphate_chem gene_pyridoxal_gene 5'-phosphate plp depend upon relative specific action two consecutive enzyme viz chem_pyridoxal_chem gene_pyridoxal_gene gene_pyridoxine_gene pyridoxamine kinase chem_pyridoxine_chem gene_pyridoxine_gene pyridoxamine phosphate oxidase   less specific phosphatase catalyze hydrolyse 5'-phosphates vitamer chem_pyridoxal_chem gene_pyridoxal_gene pyridoxamine chem_pyridoxine_chem gene_pyridoxine_gene   recognition generation ago process three form chem_vitamin_b-6_chem vitamin gene_b-6_gene 5'-phosphates interconverted much recent study provide fair sophisticated understanding molecular characteristic enzyme involve   evolutionary retention homologous portion chem_pyridoxal_chem gene_pyridoxal_kinase_gene human well bacterium recent finding high conserve region chem_pyridoxine_chem gene_pyridoxine_gene pyridoxamine phosphate oxidase both prokaryotic eukaryotic organism emphasize importance catalyst formation coenzyme essential organism   both kinase oxidase involve gene_b-6_gene metabolism potential target pharmacologic agent  
10026153	 gene_c-terminal_src_kinase_gene associate ligand-stimulated insulin-like growth factor-i receptor   increased expression insulin-like growth factor-i receptor igf-ir protein-tyrosine kinase occur several kind bing_cancer_bing induce bing_neoplastic_transformation_bing fibroblast cell line   transform phenotype reverse interfere function igf-ir   igf-ir require transformation number viral cellular oncoproteins include sv40 large t antigen ras raf src   igf-ir substrate src vitro phosphorylate v-src-transformed cell   observe igf-ir ir associate gene_c-terminal_src_kinase_gene gene_csk_gene follow ligand stimulation   find sh2 domain gene_csk_gene bind tyrosine-phosphorylated form igf-ir ir   determine chem_tyrosine_chem residue igf-ir ir responsible interaction   observe fibroblast stimulate igf-i insulin show rapid transient decrease c-src chem_tyrosine_chem kinase activity   result suggest c-src gene_csk_gene involve igf-ir ir signal interaction gene_csk_gene igf-ir play role decrease c-src activity follow igf-i stimulation  
